FID,LAD20CD,LAD20NM,original,alpha,delta,color
234,E07000181,West Oxfordshire,4.242087904,2.248895329,3.220473431,3.66
235,E07000187,Mendip,4.262783389,2.242672973,3.252528225,3.67
236,E07000188,Sedgemoor,4.254503757,2.255218728,3.257420152,3.68
237,E07000189,South Somerset,4.252471907,2.253719464,3.2391835,3.69
238,E07000192,Cannock Chase,4.294470626,2.272504317,3.263099517,3.7
239,E07000193,East Staffordshire,4.284070529,2.283310992,3.243437695,3.71
240,E07000194,Lichfield,4.286479122,2.269153773,3.257731689,3.72
241,E07000195,Newcastle-under-Lyme,4.294010752,2.264186725,3.246368866,3.73
242,E07000196,South Staffordshire,4.306597245,2.270373393,3.232470932,3.74
243,E07000197,Stafford,4.294042311,2.253700029,3.26138496,3.75
244,E07000198,Staffordshire Moorlands,4.289192242,2.258852008,3.274569219,3.76
245,E07000199,Tamworth,4.287984779,2.280327636,3.312632666,3.77
246,E07000200,Babergh,4.249323514,2.242282982,3.203010817,3.78
247,E07000202,Ipswich,4.240720162,2.268002019,3.230868657,3.79
248,E07000203,Mid Suffolk,4.230787845,2.243329406,3.207826177,3.8
249,E07000207,Elmbridge,4.258628065,2.247165325,3.237462447,3.81
250,E07000208,Epsom and Ewell,4.258305041,2.253185491,3.227489153,3.82
251,E07000209,Guildford,4.255153981,2.244225554,3.211117232,3.83
252,E07000210,Mole Valley,4.25499047,2.24141057,3.214265696,3.84
253,E07000211,Reigate and Banstead,4.243504933,2.249616164,3.240523783,3.85
254,E07000212,Runnymede,4.268766678,2.260688537,3.206698451,3.86
255,E07000213,Spelthorne,4.266903899,2.261633251,3.230617548,3.87
256,E07000214,Surrey Heath,4.252008744,2.243683113,3.23056761,3.88
257,E07000215,Tandridge,4.250711189,2.251767392,3.228724942,3.89
258,E07000216,Waverley,4.253495234,2.245016738,3.215693792,3.9
259,E07000217,Woking,4.260354489,2.257194972,3.214834417,3.91
260,E07000087,Fareham,4.256933713,2.25375055,3.233197478,3.92
261,E07000088,Gosport,4.259829654,2.261836338,3.259593326,3.93
262,E07000089,Hart,4.249477912,2.245421935,3.24617675,3.94
263,E07000090,Havant,4.263473598,2.248986451,3.237936318,3.95
264,E07000091,New Forest,4.249157777,2.24721371,3.215263449,3.96
265,E07000092,Rushmoor,4.24876749,2.252597941,3.229065612,3.97
266,E07000093,Test Valley,4.244732531,2.257335306,3.242583531,3.98
267,E07000094,Winchester,4.25261202,2.250333764,3.245354081,3.99
268,E07000095,Broxbourne,4.276308724,2.250126819,3.222068843,4
269,E07000096,Dacorum,4.251479372,2.257465047,3.253862693,4.01
270,E07000098,Hertsmere,4.257508024,2.259767436,3.230611133,4.02
271,E07000099,North Hertfordshire,4.251199948,2.250962876,3.228984801,4.03
272,E07000102,Three Rivers,4.261036589,2.256609823,3.235324529,4.04
273,E07000103,Watford,4.260712252,2.264419252,3.22492591,4.05
274,E07000105,Ashford,4.239726872,2.254078628,3.21475534,4.06
275,E07000106,Canterbury,4.258331483,2.240528207,3.186905728,4.07
276,E07000107,Dartford,4.262227798,2.250531816,3.223006819,4.08
