Date,Alpha,Delta,Omicron,Original
2021/9/7,4300783,3250606,0,2679513
2021/9/8,4300783,3278240,0,2679513
2021/9/9,4300783,3306950,0,2679513
2021/9/10,4300783,3342741,0,2679513
2021/9/11,4300783,3376078,0,2679513
2021/9/12,4300802,3410051,0,2679513
2021/9/13,4300802,3452859,0,2679513
2021/9/14,4300802,3487272,0,2679513
2021/9/15,4300839,3519756,0,2679513
2021/9/16,4300839,3564695,0,2679513
2021/9/17,4300877,3600650,0,2679513
2021/9/18,4300877,3642573,0,2679513
2021/9/19,4300877,3681024,0,2679513
2021/9/20,4300877,3720833,0,2679513
2021/9/21,4300877,3763450,0,2679513
2021/9/22,4300951,3803635,0,2679513
2021/9/23,4300951,3841376,0,2679513
2021/9/24,4300951,3877522,0,2679513
2021/9/25,4300951,3895436,0,2679513
2021/9/26,4300951,3923844,0,2679513
2021/9/27,4300951,3968004,0,2679513
2021/9/28,4300951,3996910,0,2679513
2021/9/29,4300951,4035435,0,2679513
2021/9/30,4300951,4071497,0,2679513
2021/10/1,4300951,4103620,0,2679513
2021/10/2,4300951,4125906,0,2679513
2021/10/3,4300951,4154648,0,2679513
2021/10/4,4300951,4198034,0,2679513
2021/10/5,4300951,4232315,0,2679513
2021/10/6,4300951,4268238,0,2679513
2021/10/7,4300951,4298035,0,2679513
2021/10/8,4300989,4327927,0,2679513
2021/10/9,4300989,4361438,0,2679513
2021/10/10,4300989,4396615,0,2679513
2021/10/11,4301026,4441781,0,2679513
2021/10/12,4301026,4485829,0,2679513
2021/10/13,4301026,4519241,0,2679513
2021/10/14,4301045,4547940,0,2679513
2021/10/15,4301045,4583736,0,2679513
2021/10/16,4301045,4613533,0,2679513
2021/10/17,4301045,4656193,0,2679513
2021/10/18,4301045,4707391,0,2679513
2021/10/19,4301045,4758128,0,2679513
2021/10/20,4301045,4796378,0,2679513
2021/10/21,4301045,4832015,0,2679513
2021/10/22,4301063,4865765,0,2679513
2021/10/23,4301063,4905250,0,2679513
2021/10/24,4301063,4935556,0,2679513
2021/10/25,4301082,4983197,0,2679513
2021/10/26,4301082,5023530,0,2679513
2021/10/27,4301082,5065522,0,2679513
2021/10/28,4301082,5092870,0,2679513
2021/10/29,4301082,5128984,0,2679513
2021/10/30,4301082,5171930,0,2679513
2021/10/31,4301082,5217892,0,2679513
2021/11/1,4301101,5269641,8,2679513
2021/11/2,4301101,5307218,21,2679513
2021/11/3,4301101,5351039,25,2679513
2021/11/4,4301101,5393624,25,2679513
2021/11/5,4301101,5446036,29,2679513
2021/11/6,4301101,5487614,34,2679513
2021/11/7,4301101,5531986,34,2679513
2021/11/8,4301101,5590620,34,2679513
2021/11/9,4301101,5631901,34,2679513
2021/11/10,4301119,5667093,38,2679513
2021/11/11,4301119,5704337,38,2679513
2021/11/12,4301138,5743254,46,2679513
2021/11/13,4301138,5782347,46,2679513
2021/11/14,4301138,5816935,46,2679513
2021/11/15,4301138,5874270,68,2679513
2021/11/16,4301138,5922527,76,2679513
2021/11/17,4301138,5973672,85,2679513
2021/11/18,4301138,6016454,85,2679513
2021/11/19,4301138,6056463,85,2679513
2021/11/20,4301138,6094512,93,2679513
2021/11/21,4301138,6139180,97,2679513
2021/11/22,4301157,6198911,127,2679513
2021/11/23,4301157,6242891,127,2679513
2021/11/24,4301157,6293527,157,2679513
2021/11/25,4301157,6347486,251,2679513
2021/11/26,4301157,6402829,366,2679513
2021/11/27,4301157,6442960,511,2679513
2021/11/28,4301157,6491190,617,2679513
2021/11/29,4301157,6575763,839,2679513
2021/11/30,4301157,6647699,1171,2679513
2021/12/1,4301157,6717458,1623,2679513
2021/12/2,4301157,6786793,2325,2679513
2021/12/3,4301157,6854818,3237,2679513
2021/12/4,4301157,6905009,4438,2679513
2021/12/5,4301157,6949381,6015,2679513
2021/12/6,4301157,7010209,9567,2679513
2021/12/7,4301157,7068371,14918,2679513
2021/12/8,4301157,7118064,21419,2679513
2021/12/9,4301157,7167561,30420,2679513
2021/12/10,4301157,7210994,42991,2679513
2021/12/11,4301157,7243499,56082,2679513
2021/12/12,4301157,7270147,74341,2679513
2021/12/13,4301157,7304110,115390,2679513
2021/12/14,4301157,7327075,166476,2679513
2021/12/15,4301157,7350654,242078,2679513
2021/12/16,4301157,7371202,305787,2679513
2021/12/17,4301157,7387505,365465,2679513
2021/12/18,4301157,7402647,439687,2679513
2021/12/19,4301157,7413226,515362,2679513
2021/12/20,4301157,7426826,608630,2679513
2021/12/21,4301157,7436255,678234,2679513
2021/12/22,4301157,7443463,756239,2679513
2021/12/23,4301157,7450151,848068,2679513
2021/12/24,4301157,7454518,925531,2679513
2021/12/25,4301157,7456713,981695,2679513
2021/12/26,4301157,7460285,1063577,2679513
2021/12/27,4301175,7464445,1164040,2679513
2021/12/28,4301175,7467265,1265232,2679513
2021/12/29,4301175,7471468,1401872,2679513
2021/12/30,4301175,7474001,1510868,2679513
2021/12/31,4301175,7476084,1596558,2679513
2022/1/1,4301175,7477346,1652841,2679513
2022/1/2,4301175,7479052,1750238,2679513
2022/1/3,4301175,7480960,1866744,2679513
2022/1/4,4301175,7483154,1999013,2679513
2022/1/5,4301213,7484633,2108406,2679513
2022/1/6,4301213,7486128,2218825,2679513
2022/1/7,4301213,7487278,2317486,2679513
2022/1/8,4301213,7487956,2390418,2679513
2022/1/9,4301231,7488544,2462011,2679513
2022/1/10,4301231,7489430,2583366,2679513
2022/1/11,4301231,7490097,2695135,2679513
2022/1/12,4301231,7490580,2785481,2679513
2022/1/13,4301250,7491067,2872109,2679513
2022/1/14,4301250,7491512,2965620,2679513
2022/1/15,4301250,7491830,3053870,2679513
2022/1/16,4301250,7492032,3136493,2679513
2022/1/17,4301250,7492313,3258137,2679513
2022/1/18,4301250,7492578,3368326,2679513
2022/1/19,4301250,7492859,3473007,2679513
2022/1/20,4301250,7492981,3565777,2679513
2022/1/21,4301250,7493118,3668788,2679513
2022/1/22,4301250,7493256,3755986,2679513
2022/1/23,4301250,7493383,3832521,2679513
2022/1/24,4301250,7493500,3963129,2679513
2022/1/25,4301250,7493611,4073399,2679513
2022/1/26,4301250,7493707,4186578,2679513
2022/1/27,4301250,7493765,4293287,2679513
2022/1/28,4301250,7493834,4384311,2679513
2022/1/29,4301250,7493866,4454690,2679513
