areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,06/01/2021,52751,2648165,52621,2643387,130,4778
nation,England,E92000001,07/01/2021,48132,2696297,48018,2691405,114,4892
nation,England,E92000001,08/01/2021,43493,2739790,43380,2734785,113,5005
nation,England,E92000001,09/01/2021,36419,2776209,36348,2771133,71,5076
nation,England,E92000001,10/01/2021,33749,2809958,33692,2804825,57,5133
nation,England,E92000001,11/01/2021,53518,2863476,53343,2858168,175,5308
nation,England,E92000001,12/01/2021,45968,2909444,45798,2903966,170,5478
nation,England,E92000001,13/01/2021,42300,2951744,42195,2946161,105,5583
nation,England,E92000001,14/01/2021,39659,2991403,39526,2985687,133,5716
nation,England,E92000001,15/01/2021,37877,3029280,37758,3023445,119,5835
nation,England,E92000001,16/01/2021,28411,3057691,28333,3051778,78,5913
nation,England,E92000001,17/01/2021,26976,3084667,26904,3078682,72,5985
nation,England,E92000001,18/01/2021,41934,3126601,41757,3120439,177,6162
nation,England,E92000001,19/01/2021,37056,3163657,36894,3157333,162,6324
nation,England,E92000001,20/01/2021,32678,3196335,32545,3189878,133,6457
nation,England,E92000001,21/01/2021,29632,3225967,29517,3219395,115,6572
nation,England,E92000001,22/01/2021,27741,3253708,27643,3247038,98,6670
nation,England,E92000001,23/01/2021,20425,3274133,20364,3267402,61,6731
nation,England,E92000001,24/01/2021,15883,3290016,15850,3283252,33,6764
nation,England,E92000001,25/01/2021,27971,3317987,27850,3311102,121,6885
nation,England,E92000001,26/01/2021,25210,3343197,25085,3336187,125,7010
nation,England,E92000001,27/01/2021,23899,3367096,23805,3359992,94,7104
nation,England,E92000001,28/01/2021,22522,3389618,22427,3382419,95,7199
nation,England,E92000001,29/01/2021,20362,3409980,20276,3402695,86,7285
nation,England,E92000001,30/01/2021,15524,3425504,15463,3418158,61,7346
nation,England,E92000001,31/01/2021,14138,3439642,14089,3432247,49,7395
nation,England,E92000001,01/02/2021,20764,3460406,20671,3452918,93,7488
nation,England,E92000001,02/02/2021,18195,3478601,18101,3471019,94,7582
nation,England,E92000001,03/02/2021,17948,3496549,17850,3488869,98,7680
nation,England,E92000001,04/02/2021,16716,3513265,16628,3505497,88,7768
nation,England,E92000001,05/02/2021,14462,3527727,14372,3519869,90,7858
nation,England,E92000001,06/02/2021,10951,3538678,10910,3530779,41,7899
nation,England,E92000001,07/02/2021,10457,3549135,10420,3541199,37,7936
nation,England,E92000001,08/02/2021,14370,3563505,14268,3555467,102,8038
nation,England,E92000001,09/02/2021,12696,3576201,12591,3568058,105,8143
nation,England,E92000001,10/02/2021,12272,3588473,12173,3580231,99,8242
nation,England,E92000001,11/02/2021,11637,3600110,11567,3591798,70,8312
nation,England,E92000001,12/02/2021,10986,3611096,10893,3602691,93,8405
nation,England,E92000001,13/02/2021,8024,3619120,7984,3610675,40,8445
nation,England,E92000001,14/02/2021,7780,3626900,7743,3618418,37,8482
nation,England,E92000001,15/02/2021,12953,3639853,12804,3631222,149,8631
nation,England,E92000001,16/02/2021,11270,3651123,11171,3642393,99,8730
nation,England,E92000001,17/02/2021,10419,3661542,10315,3652708,104,8834
nation,England,E92000001,18/02/2021,10304,3671846,10207,3662915,97,8931
nation,England,E92000001,19/02/2021,9246,3681092,9138,3672053,108,9039
nation,England,E92000001,20/02/2021,7160,3688252,7112,3679165,48,9087
nation,England,E92000001,21/02/2021,7032,3695284,6984,3686149,48,9135
nation,England,E92000001,22/02/2021,10277,3705561,10117,3696266,160,9295
nation,England,E92000001,23/02/2021,8535,3714096,8423,3704689,112,9407
nation,England,E92000001,24/02/2021,7619,3721715,7524,3712213,95,9502
nation,England,E92000001,25/02/2021,6935,3728650,6832,3719045,103,9605
nation,England,E92000001,26/02/2021,5884,3734534,5830,3724875,54,9659
nation,England,E92000001,27/02/2021,4254,3738788,4230,3729105,24,9683
nation,England,E92000001,28/02/2021,4112,3742900,4080,3733185,32,9715
nation,England,E92000001,01/03/2021,6214,3749114,6085,3739270,129,9844
nation,England,E92000001,02/03/2021,5951,3755065,5855,3745125,96,9940
nation,England,E92000001,03/03/2021,5305,3760370,5250,3750375,55,9995
nation,England,E92000001,04/03/2021,5011,3765381,4956,3755331,55,10050
nation,England,E92000001,05/03/2021,4728,3770109,4678,3760009,50,10100
nation,England,E92000001,06/03/2021,3832,3773941,3809,3763818,23,10123
nation,England,E92000001,07/03/2021,3677,3777618,3648,3767466,29,10152
nation,England,E92000001,08/03/2021,5818,3783436,5733,3773199,85,10237
nation,England,E92000001,09/03/2021,5487,3788923,5408,3778607,79,10316
nation,England,E92000001,10/03/2021,5223,3794146,5165,3783772,58,10374
nation,England,E92000001,11/03/2021,4848,3798994,4809,3788581,39,10413
nation,England,E92000001,12/03/2021,4766,3803760,4729,3793310,37,10450
nation,England,E92000001,13/03/2021,3590,3807350,3561,3796871,29,10479
nation,England,E92000001,14/03/2021,3707,3811057,3676,3800547,31,10510
nation,England,E92000001,15/03/2021,5637,3816694,5583,3806130,54,10564
nation,England,E92000001,16/03/2021,4919,3821613,4875,3811005,44,10608
