FID,LAD20NM,R0orig,R0alp,R0dlt,R0omi
287,South Gloucestershire,1.088817187,1.606604782,1.930335847,3.175011875
288,South Hams,1.127125996,1.782040203,1.998681686,3.727143234
289,South Holland,1.143242807,1.732616646,1.931799122,3.57227801
290,South Kesteven,1.11759192,1.649743767,1.964543469,3.340564488
291,South Lakeland,1.073614125,1.722113357,2.051104981,3.359359509
292,South Lanarkshire,1.060700559,1.64109029,1.751512431,2.904564018
293,South Norfolk,1.13123538,1.638114162,2.093053207,3.382024878
294,South Northamptonshire,1.106883423,1.675074992,1.993726083,3.510780643
295,South Oxfordshire,1.097227756,1.717862019,2.040758345,3.369843911
296,South Ribble,1.128191721,1.694086805,1.9320528,3.317663824
297,South Somerset,1.119822958,1.641917104,2.110435681,3.400530069
298,South Staffordshire,1.081399291,1.656192497,2.053193776,3.310457738
299,South Tyneside,1.061597091,1.626479907,1.852085577,3.377557821
300,Southampton,1.090678645,1.66739106,1.894636979,3.121949237
301,Southend-on-Sea,1.070210989,1.568000177,1.987866092,3.114777954
302,Southwark,1.129426705,1.570448079,1.877060713,3.028123795
303,Spelthorne,1.089100945,1.603752871,1.889427493,3.732783374
304,St Albans,1.209394561,1.658037427,2.015612518,3.538686876
305,St. Helens,1.075997703,1.570656771,1.801542052,5.462381736
306,St,1.076503609,1.635408611,1.919591597,3.091332719
307,Stafford,1.068177562,1.626351332,1.94781796,3.753151643
308,Staffordshire Moorlands,1.097992443,1.683102225,1.914037955,3.441648478
309,Stevenage,1.223180937,1.719526108,2.008286883,3.703117404
310,Stirling,1.097236599,1.774990617,1.879744504,3.709378271
311,Stockport,1.067952707,1.642621412,1.854674177,2.982298844
312,Stockton-on-Tees,1.089651051,1.625059646,1.933624013,3.06768423
313,Stoke-on-Trent,1.0816551,1.576901682,1.895189211,2.939528729
314,Stratford-on-Avon,1.091183696,1.732901809,2.025875742,3.410162465
315,Stroud,1.091671833,1.702384144,2.049813177,3.549753964
316,Sunderland,1.047224978,1.617426996,1.909444091,2.915964575
317,Surrey Heath,1.087803567,1.623766153,1.952633464,3.480931914
318,Sutton,1.064910213,1.579240185,1.956456156,3.050094615
319,Swale,1.278492748,1.549105983,2.053388888,3.56070674
320,Swansea,1.070443664,1.533355857,1.979488172,2.872099003
321,Swindon,1.100884659,1.640856578,1.937215132,3.108596031
322,Tameside,1.075944981,1.67916083,1.831005246,2.869649584
323,Tamworth,1.092618143,1.700143505,1.938691627,3.785482069
324,Tandridge,1.112253827,1.634975138,2.049840747,3.452729696
325,Teignbridge,1.211322707,1.731212016,2.058426416,3.613979676
326,Telford and Wrekin,1.110154936,1.65875726,1.944112501,3.106418185
327,Tendring,1.080197202,1.567153467,2.025893402,3.748324602
328,Test Valley,1.120658327,1.731110316,2.047661615,3.332248646
329,Tewkesbury,1.101652291,1.706150013,2.033289537,3.680809453
330,Thanet,1.09054328,1.52863683,2.012802179,3.228670699
331,Three Rivers,1.10206435,1.656074131,1.934351674,3.582192441
332,Thurrock,1.073654637,1.497887555,1.985116542,3.240168877
333,Tonbridge and Malling,1.103274662,1.560286747,2.041571627,3.366355753
334,Torbay,1.118260133,1.742589031,2.072829444,3.624553804
335,Torfaen,1.065808662,1.520830473,2.120529434,3.680209416
336,Torridge,1.148960258,1.681277953,2.119389816,3.796651424
337,Tower Hamlets,1.038196607,1.510387923,1.892436529,2.942901403
338,Trafford,1.068923993,1.663524392,1.809485996,3.145919842
339,Tunbridge Wells,1.089662634,1.566378124,2.027063248,3.812624788
340,Uttlesford,1.113051686,1.639940632,2.023284904,3.680197017
341,Vale of Glamorgan,1.05742189,1.542926165,2.101785745,3.717534529
342,Vale of White Horse,1.096923573,1.716543302,1.983649162,3.292830291
