date,alpha,original
20/08/2021,2303306,1627338
21/08/2021,2303309,1627338
22/08/2021,2303313,1627338
23/08/2021,2303318,1627338
24/08/2021,2303322,1627338
25/08/2021,2303326,1627338
26/08/2021,2303330,1627338
27/08/2021,2303334,1627338
28/08/2021,2303337,1627338
29/08/2021,2303340,1627338
30/08/2021,2303344,1627338
31/08/2021,2303349,1627338
01/09/2021,2303353,1627338
02/09/2021,2303357,1627338
03/09/2021,2303361,1627338
04/09/2021,2303364,1627338
05/09/2021,2303367,1627338
06/09/2021,2303371,1627338
07/09/2021,2303374,1627338
08/09/2021,2303377,1627338
09/09/2021,2303380,1627338
10/09/2021,2303383,1627338
11/09/2021,2303386,1627338
12/09/2021,2303389,1627338
13/09/2021,2303393,1627338
14/09/2021,2303397,1627338
15/09/2021,2303400,1627338
16/09/2021,2303403,1627338
17/09/2021,2303406,1627338
18/09/2021,2303409,1627338
19/09/2021,2303412,1627338
20/09/2021,2303416,1627338
21/09/2021,2303419,1627338
22/09/2021,2303421,1627338
23/09/2021,2303423,1627338
24/09/2021,2303424,1627338
25/09/2021,2303424,1627338
26/09/2021,2303424,1627338
27/09/2021,2303424,1627338
28/09/2021,2303425,1627338
29/09/2021,2303426,1627338
30/09/2021,2303427,1627338
01/10/2021,2303428,1627338
02/10/2021,2303429,1627338
03/10/2021,2303431,1627338
04/10/2021,2303434,1627338
05/10/2021,2303436,1627338
06/10/2021,2303439,1627338
07/10/2021,2303442,1627338
08/10/2021,2303445,1627338
09/10/2021,2303448,1627338
10/10/2021,2303451,1627338
11/10/2021,2303455,1627338
12/10/2021,2303458,1627338
13/10/2021,2303461,1627338
14/10/2021,2303463,1627338
15/10/2021,2303465,1627338
16/10/2021,2303466,1627338
17/10/2021,2303467,1627338
18/10/2021,2303468,1627338
19/10/2021,2303469,1627338
20/10/2021,2303470,1627338
21/10/2021,2303471,1627338
22/10/2021,2303472,1627338
23/10/2021,2303473,1627338
24/10/2021,2303474,1627338
25/10/2021,2303475,1627338
26/10/2021,2303476,1627338
27/10/2021,2303477,1627338
28/10/2021,2303478,1627338
29/10/2021,2303479,1627338
30/10/2021,2303480,1627338
31/10/2021,2303481,1627338
01/11/2021,2303482,1627338
02/11/2021,2303483,1627338
03/11/2021,2303484,1627338
04/11/2021,2303485,1627338
05/11/2021,2303486,1627338
06/11/2021,2303487,1627338
07/11/2021,2303488,1627338
08/11/2021,2303489,1627338
09/11/2021,2303490,1627338
10/11/2021,2303490,1627338
11/11/2021,2303490,1627338
12/11/2021,2303490,1627338
13/11/2021,2303490,1627338
14/11/2021,2303490,1627338
15/11/2021,2303490,1627338
16/11/2021,2303490,1627338
17/11/2021,2303490,1627338
18/11/2021,2303490,1627338
19/11/2021,2303490,1627338
20/11/2021,2303491,1627338
21/11/2021,2303492,1627338
22/11/2021,2303493,1627338
23/11/2021,2303494,1627338
24/11/2021,2303494,1627338
25/11/2021,2303494,1627338
26/11/2021,2303494,1627338
27/11/2021,2303494,1627338
28/11/2021,2303494,1627338
29/11/2021,2303494,1627338
30/11/2021,2303494,1627338
01/12/2021,2303494,1627338
02/12/2021,2303494,1627338
03/12/2021,2303494,1627338
04/12/2021,2303494,1627338
05/12/2021,2303494,1627338
06/12/2021,2303494,1627338
07/12/2021,2303494,1627338
08/12/2021,2303494,1627338
09/12/2021,2303494,1627338
10/12/2021,2303494,1627338
11/12/2021,2303494,1627338
12/12/2021,2303494,1627338
13/12/2021,2303494,1627338
14/12/2021,2303494,1627338
15/12/2021,2303494,1627338
16/12/2021,2303494,1627338
17/12/2021,2303494,1627338
18/12/2021,2303494,1627338
19/12/2021,2303494,1627338
20/12/2021,2303494,1627338
21/12/2021,2303495,1627338
22/12/2021,2303496,1627338
23/12/2021,2303497,1627338
24/12/2021,2303498,1627338
25/12/2021,2303499,1627338
26/12/2021,2303501,1627338
27/12/2021,2303504,1627338
28/12/2021,2303507,1627338
29/12/2021,2303512,1627338
30/12/2021,2303516,1627338
31/12/2021,2303520,1627338
01/01/2022,2303522,1627338
02/01/2022,2303526,1627338
03/01/2022,2303531,1627338
04/01/2022,2303538,1627338
05/01/2022,2303543,1627338
06/01/2022,2303548,1627338
07/01/2022,2303551,1627338
08/01/2022,2303554,1627338
09/01/2022,2303557,1627338
10/01/2022,2303560,1627338
11/01/2022,2303562,1627338
12/01/2022,2303564,1627338
13/01/2022,2303565,1627338
14/01/2022,2303566,1627338
15/01/2022,2303566,1627338
16/01/2022,2303566,1627338
17/01/2022,2303566,1627338
18/01/2022,2303566,1627338
19/01/2022,2303566,1627338
20/01/2022,2303566,1627338
21/01/2022,2303566,1627338
22/01/2022,2303566,1627338
23/01/2022,2303566,1627338
24/01/2022,2303566,1627338
25/01/2022,2303567,1627338
26/01/2022,2303568,1627338
27/01/2022,2303569,1627338
28/01/2022,2303571,1627338
29/01/2022,2303573,1627338
30/01/2022,2303575,1627338
31/01/2022,2303577,1627338
01/02/2022,2303579,1627338
02/02/2022,2303580,1627338
03/02/2022,2303581,1627338
04/02/2022,2303581,1627338
05/02/2022,2303581,1627338
06/02/2022,2303581,1627338
07/02/2022,2303581,1627338
08/02/2022,2303581,1627338
09/02/2022,2303581,1627338
10/02/2022,2303581,1627338
11/02/2022,2303581,1627338
12/02/2022,2303581,1627338
13/02/2022,2303581,1627338
14/02/2022,2303581,1627338
15/02/2022,2303581,1627338
16/02/2022,2303581,1627338
17/02/2022,2303581,1627338
18/02/2022,2303581,1627338
19/02/2022,2303581,1627338
20/02/2022,2303581,1627338
21/02/2022,2303581,1627338
22/02/2022,2303581,1627338
23/02/2022,2303581,1627338
24/02/2022,2303581,1627338
25/02/2022,2303581,1627338
26/02/2022,2303581,1627338
27/02/2022,2303581,1627338
28/02/2022,2303581,1627338
01/03/2022,2303581,1627338
02/03/2022,2303581,1627338
03/03/2022,2303581,1627338
04/03/2022,2303581,1627338
05/03/2022,2303581,1627338
06/03/2022,2303581,1627338
07/03/2022,2303581,1627338
08/03/2022,2303581,1627338
09/03/2022,2303581,1627338
10/03/2022,2303581,1627338
11/03/2022,2303581,1627338
12/03/2022,2303581,1627338
13/03/2022,2303581,1627338
14/03/2022,2303581,1627338
15/03/2022,2303581,1627338
16/03/2022,2303581,1627338
17/03/2022,2303581,1627338
18/03/2022,2303581,1627338
19/03/2022,2303581,1627338
20/03/2022,2303581,1627338
21/03/2022,2303581,1627338
22/03/2022,2303581,1627338
23/03/2022,2303581,1627338
