date,Original,Alpha,Delta,Omicron,cumCases
12/09/2021,1627338,2303389,2358778,0,6382982
13/09/2021,1627338,2303393,2382587,0,6408176
14/09/2021,1627338,2303397,2403930,0,6430801
15/09/2021,1627338,2303400,2425002,0,6453180
16/09/2021,1627338,2303403,2445827,0,6475337
17/09/2021,1627338,2303406,2466805,0,6497697
18/09/2021,1627338,2303409,2486396,0,6518617
19/09/2021,1627338,2303412,2509568,0,6543406
20/09/2021,1627338,2303416,2539521,0,6575516
21/09/2021,1627338,2303419,2567945,0,6606051
22/09/2021,1627338,2303421,2594680,0,6634832
23/09/2021,1627338,2303423,2620939,0,6663159
24/09/2021,1627338,2303424,2644751,0,6688901
25/09/2021,1627338,2303424,2666335,0,6712283
26/09/2021,1627338,2303424,2691017,0,6739078
27/09/2021,1627338,2303424,2722839,0,6773664
28/09/2021,1627338,2303425,2750061,0,6803285
29/09/2021,1627338,2303426,2776379,0,6831956
30/09/2021,1627338,2303427,2800953,0,6858758
01/10/2021,1627338,2303428,2823050,0,6882886
02/10/2021,1627338,2303429,2843052,0,6904752
03/10/2021,1627338,2303431,2867842,0,6931884
04/10/2021,1627338,2303434,2901134,0,6968353
05/10/2021,1627338,2303436,2930554,0,7000609
06/10/2021,1627338,2303439,2960207,0,7033148
07/10/2021,1627338,2303442,2989485,0,7065304
08/10/2021,1627338,2303445,3016627,0,7095140
09/10/2021,1627338,2303448,3041323,0,7122311
10/10/2021,1627338,2303451,3069919,0,7153800
11/10/2021,1627338,2303455,3108947,0,7196899
12/10/2021,1627338,2303458,3145857,0,7237775
13/10/2021,1627338,2303461,3182363,0,7278319
14/10/2021,1627338,2303463,3217612,0,7317579
15/10/2021,1627338,2303465,3250400,0,7354203
16/10/2021,1627338,2303466,3278643,0,7385841
17/10/2021,1627338,2303467,3312019,0,7423337
18/10/2021,1627338,2303468,3355764,0,7472586
19/10/2021,1627338,2303469,3395310,0,7517201
20/10/2021,1627338,2303470,3434193,0,7561161
21/10/2021,1627338,2303471,3468245,0,7599740
22/10/2021,1627338,2303472,3498635,0,7634243
23/10/2021,1627338,2303473,3524776,0,7663985
24/10/2021,1627338,2303474,3551164,0,7694072
25/10/2021,1627338,2303475,3586062,1,7734020
26/10/2021,1627338,2303476,3616754,3,7769293
27/10/2021,1627338,2303477,3648404,6,7805812
28/10/2021,1627338,2303478,3678673,9,7840877
29/10/2021,1627338,2303479,3707900,13,7874872
30/10/2021,1627338,2303480,3732083,17,7903113
31/10/2021,1627338,2303481,3757284,22,7932663
01/11/2021,1627338,2303482,3789271,27,7970321
02/11/2021,1627338,2303483,3815769,31,8001644
03/11/2021,1627338,2303484,3840532,34,8031036
